mouse_group,half_life,condition,,,,,,,,,,,,,,,,,,,,,,,
AJ,22.02145065,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
AJ,11.13167567,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
AJ,18.07801316,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
AJ,14.12165228,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
AJ,18.29632648,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
AJ,16.91964705,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
AJ,5.13126878,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
AJ,23.14347848,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
AJ,6.119802412,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
AJ,14.34894229,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
AJ,20.34509402,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
AJ,12.42912029,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
AJ,13.73302916,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
AJ,23.00292638,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
AJ,1.984295562,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
AJ,8.556738767,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
AJ,4.709904195,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
AJ,#N/A,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
AJ,9.533693426,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
AJ,19.24179498,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
AJ,#N/A,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
AJ,20.86849859,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
AJ,17.52008646,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
AJ,8.505499553,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
AJ,11.81494163,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
AJ,#N/A,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
AJ,#N/A,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
AJ,24.97602668,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
AJ,19.12024662,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
AJ,21.48028078,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
AJ,#N/A,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
AJ,17.32629715,ISO,,,,,,,,,,,,,,,,,,,,,,,
AJ,13.6545748,ISO,,,,,,,,,,,,,,,,,,,,,,,
AJ,15.23969792,ISO,,,,,,,,,,,,,,,,,,,,,,,
AJ,15.28051719,ISO,,,,,,,,,,,,,,,,,,,,,,,
AJ,17.43941983,ISO,,,,,,,,,,,,,,,,,,,,,,,
AJ,17.41247706,ISO,,,,,,,,,,,,,,,,,,,,,,,
AJ,7.69829941,ISO,,,,,,,,,,,,,,,,,,,,,,,
AJ,14.13922405,ISO,,,,,,,,,,,,,,,,,,,,,,,
AJ,7.907313346,ISO,,,,,,,,,,,,,,,,,,,,,,,
AJ,18.73370758,ISO,,,,,,,,,,,,,,,,,,,,,,,
AJ,17.33301277,ISO,,,,,,,,,,,,,,,,,,,,,,,
AJ,14.88990002,ISO,,,,,,,,,,,,,,,,,,,,,,,
AJ,20.0218715,ISO,,,,,,,,,,,,,,,,,,,,,,,
AJ,16.72047233,ISO,,,,,,,,,,,,,,,,,,,,,,,
AJ,2.056151513,ISO,,,,,,,,,,,,,,,,,,,,,,,
AJ,6.128080458,ISO,,,,,,,,,,,,,,,,,,,,,,,
AJ,6.198277554,ISO,,,,,,,,,,,,,,,,,,,,,,,
AJ,#N/A,ISO,,,,,,,,,,,,,,,,,,,,,,,
AJ,6.892357676,ISO,,,,,,,,,,,,,,,,,,,,,,,
AJ,16.1957844,ISO,,,,,,,,,,,,,,,,,,,,,,,
AJ,9.847799002,ISO,,,,,,,,,,,,,,,,,,,,,,,
AJ,21.50026926,ISO,,,,,,,,,,,,,,,,,,,,,,,
AJ,19.65817302,ISO,,,,,,,,,,,,,,,,,,,,,,,
AJ,7.772015255,ISO,,,,,,,,,,,,,,,,,,,,,,,
AJ,11.17546725,ISO,,,,,,,,,,,,,,,,,,,,,,,
AJ,#N/A,ISO,,,,,,,,,,,,,,,,,,,,,,,
AJ,#N/A,ISO,,,,,,,,,,,,,,,,,,,,,,,
