uniprot,group,half_life,log_10_HL
Q61554,ctrl,42.06883626,1.623960498
Q8R0Y8,ctrl,39.68096981,1.598582278
P54320,ctrl,38.86661324,1.589576699
Q60675,ctrl,35.13786939,1.545775424
P68134,ctrl,33.98113445,1.531237874
P04919,ctrl,33.87981722,1.529941059
Q8BGH2,ctrl,32.59108428,1.513098809
O35129,ctrl,31.83809566,1.502947083
P47802,ctrl,31.44094986,1.497495658
P01942,ctrl,31.35419462,1.49629565
P02088,ctrl,30.99041784,1.491227432
P00920,ctrl,30.57350332,1.485345206
Q9CZB0,ctrl,30.34927889,1.482148377
P56382,ctrl,30.26843583,1.480989979
Q9D1G3,ctrl,28.34146382,1.452422277
Q99L13,ctrl,27.85513505,1.444905268
Q9CQH3,ctrl,27.53424885,1.439873233
Q8BH95,ctrl,27.41771214,1.438031212
Q9CQJ8,ctrl,27.41771214,1.438031212
P62897,ctrl,27.02644288,1.431788889
P20108,ctrl,26.77174233,1.427676636
P03911,ctrl,26.5522766,1.424101763
Q9CRB9,ctrl,26.27647676,1.419567133
P08122,ctrl,26.10969698,1.416801832
Q9CQ69,ctrl,26.07973439,1.416303164
P09671,ctrl,26.0650239,1.416058127
Q8BKZ9,ctrl,26.04984049,1.415805068
Q9D2G2,ctrl,25.88688305,1.413079762
Q8BWF0,ctrl,25.85694709,1.412577247
P17665,ctrl,25.82804265,1.412091495
Q9D0M3,ctrl,25.76946913,1.411105472
Q9CPU4,ctrl,25.56606597,1.407663905
Q8K215,ctrl,25.50867334,1.406687872
Q8BMF4,ctrl,25.4515378,1.405714028
Q9DB20,ctrl,25.43752727,1.405474892
Q78IK4,ctrl,25.42353215,1.405235888
O09111,ctrl,24.94860816,1.397046322
P19536,ctrl,24.90736931,1.39632786
Q9D3D9,ctrl,24.86626657,1.395610585
Q91VR2,ctrl,24.85957789,1.39549375
Q925I1,ctrl,24.71773845,1.393008732
Q9CQ75,ctrl,24.58404613,1.390653362
Q06185,ctrl,24.45179224,1.388310697
Q8CHT0,ctrl,24.35941594,1.386666871
Q9CPU2,ctrl,24.35941594,1.386666871
P56135,ctrl,24.20375657,1.383882776
Q9CQ54,ctrl,24.20375657,1.383882776
Q5SUC9,ctrl,24.05007392,1.381116416
P05202,ctrl,23.84817411,1.377455134
Q9D6R2,ctrl,23.84817411,1.377455134
Q9WUM5,ctrl,23.79822772,1.376544616
P08249,ctrl,23.62464828,1.373365352
Q9CQC7,ctrl,23.60051687,1.372921515
Q9DB77,ctrl,23.44208129,1.369996168
Q9CZU6,ctrl,23.29789021,1.367316594
Q9WV98,ctrl,23.21440061,1.365757475
Q9D051,ctrl,23.19071165,1.365314076
Q9D855,ctrl,23.12031957,1.363993833
Q9DCJ5,ctrl,22.81815784,1.35828058
Q9WTP6,ctrl,22.81815784,1.35828058
Q9CPQ8,ctrl,22.73806523,1.356753508
Q8JZN5,ctrl,22.72650963,1.356532741
P48962,ctrl,22.61344058,1.354366644
P51881,ctrl,22.60237978,1.354154168
P03899,ctrl,22.54613758,1.353072153
Q9CZ13,ctrl,22.54613758,1.353072153
Q8BH59,ctrl,22.52379218,1.352641512
Q9DCX2,ctrl,22.39064446,1.350066594
Q9Z0X1,ctrl,22.36860607,1.349638921
P56391,ctrl,22.26978893,1.347716101
O08749,ctrl,22.21554375,1.346656948
P40630,ctrl,22.04316046,1.343273862
Q4VAE3,ctrl,22.04280996,1.343266956
Q9JLT4,ctrl,21.91561846,1.340753731
Q9CQQ7,ctrl,21.84172619,1.339286958
Q9JI39,ctrl,21.83140726,1.339081731
P50171,ctrl,21.76833052,1.337825123
Q61425,ctrl,21.76833052,1.337825123
O08756,ctrl,21.72670848,1.336993937
Q61001,ctrl,21.66423443,1.335743347
Q9CPQ1,ctrl,21.58194042,1.334090489
