comparison,half_life,group
OS_vs_Ctrl,42.06883626,group_1
OS_vs_Ctrl,39.68096981,group_1
OS_vs_Ctrl,38.86661324,group_1
OS_vs_Ctrl,35.13786939,group_1
OS_vs_Ctrl,33.98113445,group_1
OS_vs_Ctrl,33.87981722,group_1
OS_vs_Ctrl,32.59108428,group_1
OS_vs_Ctrl,31.83809566,group_1
OS_vs_Ctrl,31.44094986,group_1
OS_vs_Ctrl,31.35419462,group_1
OS_vs_Ctrl,30.99041784,group_1
OS_vs_Ctrl,30.57350332,group_1
OS_vs_Ctrl,30.34927889,group_1
OS_vs_Ctrl,30.26843583,group_1
OS_vs_Ctrl,28.34146382,group_1
OS_vs_Ctrl,27.85513505,group_1
OS_vs_Ctrl,27.53424885,group_1
OS_vs_Ctrl,27.41771214,group_1
OS_vs_Ctrl,27.41771214,group_1
OS_vs_Ctrl,27.02644288,group_1
OS_vs_Ctrl,26.77174233,group_1
OS_vs_Ctrl,26.5522766,group_1
OS_vs_Ctrl,26.27647676,group_1
OS_vs_Ctrl,26.10969698,group_1
OS_vs_Ctrl,26.07973439,group_1
OS_vs_Ctrl,26.0650239,group_1
OS_vs_Ctrl,26.04984049,group_1
OS_vs_Ctrl,25.88688305,group_1
OS_vs_Ctrl,25.85694709,group_1
OS_vs_Ctrl,25.82804265,group_1
OS_vs_Ctrl,25.76946913,group_1
OS_vs_Ctrl,25.56606597,group_1
OS_vs_Ctrl,25.50867334,group_1
OS_vs_Ctrl,25.4515378,group_1
OS_vs_Ctrl,25.43752727,group_1
OS_vs_Ctrl,25.42353215,group_1
OS_vs_Ctrl,24.94860816,group_1
OS_vs_Ctrl,24.90736931,group_1
OS_vs_Ctrl,24.86626657,group_1
OS_vs_Ctrl,24.85957789,group_1
OS_vs_Ctrl,24.71773845,group_1
OS_vs_Ctrl,24.58404613,group_1
OS_vs_Ctrl,24.45179224,group_1
OS_vs_Ctrl,24.35941594,group_1
OS_vs_Ctrl,24.35941594,group_1
OS_vs_Ctrl,24.20375657,group_1
OS_vs_Ctrl,24.20375657,group_1
OS_vs_Ctrl,24.05007392,group_1
OS_vs_Ctrl,23.84817411,group_1
OS_vs_Ctrl,23.84817411,group_1
OS_vs_Ctrl,23.79822772,group_1
OS_vs_Ctrl,23.62464828,group_1
OS_vs_Ctrl,23.60051687,group_1
OS_vs_Ctrl,23.44208129,group_1
OS_vs_Ctrl,23.29789021,group_1
OS_vs_Ctrl,23.21440061,group_1
OS_vs_Ctrl,23.19071165,group_1
OS_vs_Ctrl,23.12031957,group_1
OS_vs_Ctrl,22.81815784,group_1
OS_vs_Ctrl,22.81815784,group_1
OS_vs_Ctrl,22.73806523,group_1
OS_vs_Ctrl,22.72650963,group_1
OS_vs_Ctrl,22.61344058,group_1
OS_vs_Ctrl,22.60237978,group_1
OS_vs_Ctrl,22.54613758,group_1
OS_vs_Ctrl,22.54613758,group_1
OS_vs_Ctrl,22.52379218,group_1
OS_vs_Ctrl,22.39064446,group_1
OS_vs_Ctrl,22.36860607,group_1
OS_vs_Ctrl,22.26978893,group_1
OS_vs_Ctrl,22.21554375,group_1
OS_vs_Ctrl,22.04316046,group_1
OS_vs_Ctrl,22.04280996,group_1
OS_vs_Ctrl,21.91561846,group_1
OS_vs_Ctrl,21.84172619,group_1
OS_vs_Ctrl,21.83140726,group_1
OS_vs_Ctrl,21.76833052,group_1
OS_vs_Ctrl,21.76833052,group_1
OS_vs_Ctrl,21.72670848,group_1
OS_vs_Ctrl,21.66423443,group_1
OS_vs_Ctrl,21.58194042,group_1
OS_vs_Ctrl,21.56179987,group_1
OS_vs_Ctrl,21.54102743,group_1
OS_vs_Ctrl,21.50026926,group_1
OS_vs_Ctrl,21.41921389,group_1
OS_vs_Ctrl,21.39904545,group_1
OS_vs_Ctrl,21.34895451,group_1
OS_vs_Ctrl,21.29909753,group_1
OS_vs_Ctrl,21.23938044,group_1
OS_vs_Ctrl,21.22897248,group_1
OS_vs_Ctrl,21.12062345,group_1
OS_vs_Ctrl,21.0424001,group_1
OS_vs_Ctrl,20.9261455,group_1
OS_vs_Ctrl,20.90689451,group_1
OS_vs_Ctrl,20.88736419,group_1
OS_vs_Ctrl,20.8490399,group_1
OS_vs_Ctrl,20.83024344,group_1
OS_vs_Ctrl,20.79212828,group_1
OS_vs_Ctrl,20.79181644,group_1
OS_vs_Ctrl,20.77281169,group_1
OS_vs_Ctrl,20.74452483,group_1
OS_vs_Ctrl,20.71631491,group_1
OS_vs_Ctrl,20.71600534,group_1
OS_vs_Ctrl,20.71600534,group_1
OS_vs_Ctrl,20.69713886,group_1
OS_vs_Ctrl,20.69713886,group_1
OS_vs_Ctrl,20.5751868,group_1
OS_vs_Ctrl,20.55657583,group_1
OS_vs_Ctrl,20.4915503,group_1
OS_vs_Ctrl,20.4915503,group_1
OS_vs_Ctrl,20.45466346,group_1
OS_vs_Ctrl,20.41790917,group_1
OS_vs_Ctrl,20.30843458,group_1
OS_vs_Ctrl,20.20012766,group_1
OS_vs_Ctrl,20.14611348,group_1
OS_vs_Ctrl,20.09296984,group_1
OS_vs_Ctrl,20.05750277,group_1
OS_vs_Ctrl,19.99126629,group_1
OS_vs_Ctrl,19.98694292,group_1
OS_vs_Ctrl,19.95184884,group_1
OS_vs_Ctrl,19.91687778,group_1
OS_vs_Ctrl,19.89943818,group_1
OS_vs_Ctrl,19.89915254,group_1
OS_vs_Ctrl,19.89058714,group_1
OS_vs_Ctrl,19.88174396,group_1
OS_vs_Ctrl,19.85583032,group_1
OS_vs_Ctrl,19.82970049,group_1
