ctrl_uniprot,group_1,ctrl_half_life,ctrl_log_10_HL,os_uniprot,group_2,os_half_life,os_log_10_HL
Q61554,ctrl,42.06883626,1.623960498,P43883,iso,0.542979219,-0.265216792
Q8R0Y8,ctrl,39.68096981,1.598582278,Q9DBC7,iso,0.549707801,-0.2598681
P54320,ctrl,38.86661324,1.589576699,Q9CR42,iso,0.563677275,-0.248969474
Q60675,ctrl,35.13786939,1.545775424,Q64511,iso,0.584808978,-0.232985969
P68134,ctrl,33.98113445,1.531237874,Q8BGI7,iso,0.593798717,-0.226360745
P04919,ctrl,33.87981722,1.529941059,P35385,iso,0.606548175,-0.2171347
Q8BGH2,ctrl,32.59108428,1.513098809,A6X935,iso,0.607326749,-0.216577591
O35129,ctrl,31.83809566,1.502947083,Q9D1L0,iso,0.621417015,-0.20661686
P47802,ctrl,31.44094986,1.497495658,Q91VW3,iso,0.623053645,-0.205474559
P01942,ctrl,31.35419462,1.49629565,O08573,iso,0.626352341,-0.203181295
P02088,ctrl,30.99041784,1.491227432,Q5I043,iso,0.650460697,-0.18677894
P00920,ctrl,30.57350332,1.485345206,O35465,iso,0.655264381,-0.183583439
Q9CZB0,ctrl,30.34927889,1.482148377,Q9DBD0,iso,0.660140172,-0.180363838
P56382,ctrl,30.26843583,1.480989979,P70333,iso,0.662605063,-0.17874525
Q9D1G3,ctrl,28.34146382,1.452422277,P21614,iso,0.673290497,-0.171797515
Q99L13,ctrl,27.85513505,1.444905268,Q924T2,iso,0.68038987,-0.167242161
Q9CQH3,ctrl,27.53424885,1.439873233,Q99NB9,iso,0.711775776,-0.147656796
Q8BH95,ctrl,27.41771214,1.438031212,P24549,iso,0.716084069,-0.145035988
Q9CQJ8,ctrl,27.41771214,1.438031212,P06909,iso,0.71971473,-0.142839609
P62897,ctrl,27.02644288,1.431788889,Q9CR00,iso,0.747769499,-0.126232253
P20108,ctrl,26.77174233,1.427676636,P32261,iso,0.749348303,-0.125316272
P03911,ctrl,26.5522766,1.424101763,Q91ZX7,iso,0.77217462,-0.112284477
Q9CRB9,ctrl,26.27647676,1.419567133,Q07456,iso,0.776397575,-0.10991583
P08122,ctrl,26.10969698,1.416801832,Q9JJV9,iso,0.776397575,-0.10991583
Q9CQ69,ctrl,26.07973439,1.416303164,Q64337,iso,0.784117338,-0.105618943
P09671,ctrl,26.0650239,1.416058127,Q06890,iso,0.784984477,-0.105138931
Q8BKZ9,ctrl,26.04984049,1.415805068,Q6PDG5,iso,0.824178352,-0.083978797
Q9D2G2,ctrl,25.88688305,1.413079762,Q8K009,iso,0.826096706,-0.082969109
Q8BWF0,ctrl,25.85694709,1.412577247,P34928,iso,0.828991537,-0.081449903
P17665,ctrl,25.82804265,1.412091495,Q8BH97,iso,0.835825019,-0.077884633
Q9D0M3,ctrl,25.76946913,1.411105472,Q920Q8,iso,0.837798039,-0.076860661
Q9CPU4,ctrl,25.56606597,1.407663905,P04186,iso,0.842772096,-0.074289852
Q8K215,ctrl,25.50867334,1.406687872,Q61129,iso,0.842772096,-0.074289852
Q8BMF4,ctrl,25.4515378,1.405714028,P31532,iso,0.849835624,-0.070665068
Q9DB20,ctrl,25.43752727,1.405474892,P48725,iso,0.866433976,-0.062264526
Q78IK4,ctrl,25.42353215,1.405235888,Q8VCM7,iso,0.868554334,-0.061203008
O09111,ctrl,24.94860816,1.397046322,Q3TFQ1,iso,0.874978137,-0.058002798
P19536,ctrl,24.90736931,1.39632786,P03953,iso,0.879314839,-0.055855598
Q9D3D9,ctrl,24.86626657,1.395610585,Q61584,iso,0.89937003,-0.046061588
Q91VR2,ctrl,24.85957789,1.39549375,Q9DCF9,iso,0.917980898,-0.037166356
Q925I1,ctrl,24.71773845,1.393008732,Q9ESB3,iso,0.922754283,-0.03491393
Q9CQ75,ctrl,24.58404613,1.390653362,Q8K0E8,iso,0.930008796,-0.031512944
Q06185,ctrl,24.45179224,1.388310697,P42227,iso,0.944864844,-0.02463031
Q8CHT0,ctrl,24.35941594,1.386666871,P97290,iso,0.948653151,-0.022892546
Q9CPU2,ctrl,24.35941594,1.386666871,Q9CS72,iso,0.948653801,-0.022892249
P56135,ctrl,24.20375657,1.383882776,Q61247,iso,0.950559697,-0.022020603
Q9CQ54,ctrl,24.20375657,1.383882776,P55284,iso,0.959554546,-0.017930333
Q5SUC9,ctrl,24.05007392,1.381116416,Q61656,iso,0.968061698,-0.014096963
P05202,ctrl,23.84817411,1.377455134,Q9CY50,iso,0.976049179,-0.0105283
Q9D6R2,ctrl,23.84817411,1.377455134,P19221,iso,0.978740814,-0.009332301
Q9WUM5,ctrl,23.79822772,1.376544616,Q91ZB0,iso,0.984168867,-0.006930377
P08249,ctrl,23.62464828,1.373365352,Q91ZP3,iso,0.985450532,-0.006365172
Q9CQC7,ctrl,23.60051687,1.372921515,O88947,iso,1.018048055,0.007768278
Q9DB77,ctrl,23.44208129,1.369996168,Q3UIJ9,iso,1.023922164,0.010266944
Q9CZU6,ctrl,23.29789021,1.367316594,Q8VCN9,iso,1.041959943,0.017851023
Q9WV98,ctrl,23.21440061,1.365757475,Q99K51,iso,1.051218473,0.021692984
Q9D051,ctrl,23.19071165,1.365314076,P50518,iso,1.056696065,0.02395009
Q9D855,ctrl,23.12031957,1.363993833,Q3UZA1,iso,1.060841867,0.025650651
Q9DCJ5,ctrl,22.81815784,1.35828058,Q4U4S6,iso,1.063823011,0.02686938
Q9WTP6,ctrl,22.81815784,1.35828058,P23953,iso,1.069030651,0.028990158
Q9CPQ8,ctrl,22.73806523,1.356753508,Q9DCL9,iso,1.080010004,0.033427778
Q8JZN5,ctrl,22.72650963,1.356532741,Q9WVR4,iso,1.086207747,0.035912896
P48962,ctrl,22.61344058,1.354366644,O70492,iso,1.086623233,0.036078986
P51881,ctrl,22.60237978,1.354154168,P29699,iso,1.08912455,0.037077547
P03899,ctrl,22.54613758,1.353072153,G5E870,iso,1.089960311,0.037410684
Q9CZ13,ctrl,22.54613758,1.353072153,P06728,iso,1.11741611,0.048214928
Q8BH59,ctrl,22.52379218,1.352641512,O08677,iso,1.122718281,0.050270794
Q9DCX2,ctrl,22.39064446,1.350066594,Q9QZF2,iso,1.147216696,0.059645459
Q9Z0X1,ctrl,22.36860607,1.349638921,Q91W50,iso,1.153743511,0.062109272
P56391,ctrl,22.26978893,1.347716101,P15105,iso,1.167022503,0.06707923
O08749,ctrl,22.21554375,1.346656948,Q61730,iso,1.167022503,0.06707923
P40630,ctrl,22.04316046,1.343273862,P11276,iso,1.170871558,0.068509256
Q4VAE3,ctrl,22.04280996,1.343266956,P32067,iso,1.190510197,0.07573312
Q9JLT4,ctrl,21.91561846,1.340753731,Q61147,iso,1.193513316,0.076827269
Q9CQQ7,ctrl,21.84172619,1.339286958,Q3THK7,iso,1.217049082,0.085308093
Q9JI39,ctrl,21.83140726,1.339081731,Q9ERP3,iso,1.221235795,0.086799525
P50171,ctrl,21.76833052,1.337825123,Q9Z1R2,iso,1.231834618,0.090552405
Q61425,ctrl,21.76833052,1.337825123,Q61595,iso,1.240445285,0.093577613
O08756,ctrl,21.72670848,1.336993937,Q8VDJ3,iso,1.240445285,0.093577613
Q61001,ctrl,21.66423443,1.335743347,Q61151,iso,1.246983822,0.095860819
Q9CPQ1,ctrl,21.58194042,1.334090489,Q91X72,iso,1.251380524,0.097389392
Q91VT4,ctrl,21.56179987,1.333685011,Q61191,iso,1.25580834,0.098923363
P02463,ctrl,21.54102743,1.333266414,P20918,iso,1.264758644,0.102007656
Q9JLZ3,ctrl,21.50026926,1.332443899,Q91ZU6,iso,1.271555546,0.104335337
P51174,ctrl,21.41921389,1.330803528,P07759,iso,1.281890768,0.10785102
P24472,ctrl,21.39904545,1.330394401,O70548,iso,1.289458599,0.110407403
