ctrl_uniprot,group_1,ctrl_half_life,ctrl_log_10_HL,os_uniprot,group_2,os_half_life,ctrl_log_10_HL,os_log_10_HL,rs_uniprot,group_3,rs_half_life,rs_log_10_HL
Q61554,ctrl,42.06883626,1.623960498,P43883,iso,0.542979219,1.623960498,-0.265216792,Q80X82,CaNrf2-TG,49.87387974,1.697873154
Q8R0Y8,ctrl,39.68096981,1.598582278,Q9DBC7,iso,0.549707801,1.598582278,-0.2598681,O35129,CaNrf2-TG,49.27995312,1.692670286
P54320,ctrl,38.86661324,1.589576699,Q9CR42,iso,0.563677275,1.589576699,-0.248969474,P56135,CaNrf2-TG,48.59416577,1.686584131
Q60675,ctrl,35.13786939,1.545775424,Q64511,iso,0.584808978,1.545775424,-0.232985969,Q9D1G3,CaNrf2-TG,48.07846158,1.681950563
P68134,ctrl,33.98113445,1.531237874,Q8BGI7,iso,0.593798717,1.531237874,-0.226360745,P00848,CaNrf2-TG,47.67502446,1.678290924
P04919,ctrl,33.87981722,1.529941059,P35385,iso,0.606548175,1.529941059,-0.2171347,Q91YP0,CaNrf2-TG,46.60126264,1.668397684
Q8BGH2,ctrl,32.59108428,1.513098809,A6X935,iso,0.607326749,1.513098809,-0.216577591,Q06185,CaNrf2-TG,46.31479223,1.66571972
O35129,ctrl,31.83809566,1.502947083,Q9D1L0,iso,0.621417015,1.502947083,-0.20661686,Q9D6R2,CaNrf2-TG,46.12678383,1.663953175
P47802,ctrl,31.44094986,1.497495658,Q91VW3,iso,0.623053645,1.497495658,-0.205474559,P00405,CaNrf2-TG,46.12678383,1.663953175
P01942,ctrl,31.35419462,1.49629565,O08573,iso,0.626352341,1.49629565,-0.203181295,Q91V12,CaNrf2-TG,46.12678383,1.663953175
P02088,ctrl,30.99041784,1.491227432,Q5I043,iso,0.650460697,1.491227432,-0.18677894,Q9CZU6,CaNrf2-TG,45.98753893,1.662640169
P00920,ctrl,30.57350332,1.485345206,O35465,iso,0.655264381,1.485345206,-0.183583439,Q8BMF4,CaNrf2-TG,45.25345567,1.655651749
Q9CZB0,ctrl,30.34927889,1.482148377,Q9DBD0,iso,0.660140172,1.482148377,-0.180363838,Q60930,CaNrf2-TG,45.03002537,1.653502192
P56382,ctrl,30.26843583,1.480989979,P70333,iso,0.662605063,1.480989979,-0.17874525,Q80XN0,CaNrf2-TG,44.89585987,1.652206294
Q9D1G3,ctrl,28.34146382,1.452422277,P21614,iso,0.673290497,1.452422277,-0.171797515,Q9CQZ6,CaNrf2-TG,44.67593816,1.650073681
Q99L13,ctrl,27.85513505,1.444905268,Q924T2,iso,0.68038987,1.444905268,-0.167242161,Q8BWF0,CaNrf2-TG,44.4567348,1.647937562
Q9CQH3,ctrl,27.53424885,1.439873233,Q99NB9,iso,0.711775776,1.439873233,-0.147656796,Q9CR62,CaNrf2-TG,44.24108381,1.645825758
Q8BH95,ctrl,27.41771214,1.438031212,P24549,iso,0.716084069,1.438031212,-0.145035988,Q9DCW4,CaNrf2-TG,43.77172685,1.64119368
Q9CQJ8,ctrl,27.41771214,1.438031212,P06909,iso,0.71971473,1.438031212,-0.142839609,P62897,CaNrf2-TG,43.47931129,1.638282656
P62897,ctrl,27.02644288,1.431788889,Q9CR00,iso,0.747769499,1.431788889,-0.126232253,P03921,CaNrf2-TG,43.47931129,1.638282656
