mouse_group,half_life,condition
AJ,17.84162627,Ctrl
AJ,11.70856724,Ctrl
AJ,17.41575831,Ctrl
AJ,14.18929745,Ctrl
AJ,18.91261066,Ctrl
AJ,17.30704571,Ctrl
AJ,5.331901389,Ctrl
AJ,23.57643471,Ctrl
AJ,6.68738235,Ctrl
AJ,12.84795515,Ctrl
AJ,19.71969219,Ctrl
AJ,11.14384535,Ctrl
AJ,12.54565033,Ctrl
AJ,18.83552121,Ctrl
AJ,2.094100243,Ctrl
AJ,3.7280294,Ctrl
AJ,5.271081221,Ctrl
AJ,,Ctrl
AJ,6.580511208,Ctrl
AJ,19.80420516,Ctrl
AJ,16.90602879,Ctrl
AJ,20.94100243,Ctrl
AJ,17.22104796,Ctrl
AJ,8.880809488,Ctrl
AJ,11.88931699,Ctrl
AJ,,Ctrl
AJ,,Ctrl
AJ,21.83140726,Ctrl
AJ,19.38873232,Ctrl
AJ,15.62902324,Ctrl
AJ,,Ctrl
AJ,16.38645817,ISO
AJ,12.76514145,ISO
AJ,15.48932247,ISO
AJ,15.23400397,ISO
AJ,17.86461806,ISO
AJ,17.77300463,ISO
AJ,4.276486461,ISO
AJ,15.48932247,ISO
AJ,8.116477524,ISO
AJ,18.53334707,ISO
AJ,17.07259065,ISO
AJ,14.17478897,ISO
AJ,20.1203826,ISO
AJ,15.87966049,ISO
AJ,2.152630996,ISO
AJ,6.493182019,ISO
AJ,5.970259953,ISO
AJ,,ISO
AJ,6.465925192,ISO
AJ,14.10268933,ISO
AJ,8.25175215,ISO
AJ,21.66084939,ISO
AJ,19.83253736,ISO
AJ,7.212769829,ISO
AJ,10.76315498,ISO
AJ,,ISO
AJ,,ISO
AJ,21.19716149,ISO
AJ,17.24246718,ISO
AJ,17.24246718,ISO
AJ,3.536465207,ISO
Balbc,15.78922963,Ctrl
Balbc,11.39107938,Ctrl
Balbc,17.41575831,Ctrl
Balbc,15.45478663,Ctrl
Balbc,14.59257222,Ctrl
Balbc,16.06366583,Ctrl
Balbc,4.778677563,Ctrl
Balbc,13.79397374,Ctrl
Balbc,3.927179493,Ctrl
Balbc,13.05361922,Ctrl
Balbc,17.68232603,Ctrl
Balbc,13.17770305,Ctrl
Balbc,12.90776873,Ctrl
Balbc,14.81083719,Ctrl
Balbc,2.471112943,Ctrl
Balbc,8.774014944,Ctrl
Balbc,3.750796432,Ctrl
Balbc,,Ctrl
Balbc,2.393050856,Ctrl
Balbc,13.94662335,Ctrl
Balbc,6.931471806,Ctrl
Balbc,19.58042883,Ctrl
Balbc,15.26755904,Ctrl
Balbc,6.47196247,Ctrl
Balbc,8.978590422,Ctrl
Balbc,,Ctrl
Balbc,,Ctrl
Balbc,19.22738365,Ctrl
Balbc,14.65427443,Ctrl
Balbc,16.98890148,Ctrl
Balbc,,Ctrl
Balbc,13.87682043,ISO
Balbc,13.02908234,ISO
Balbc,17.81869359,ISO
Balbc,21.03633325,ISO
Balbc,21.59337011,ISO
Balbc,14.13144099,ISO
Balbc,7.301089459,ISO
Balbc,18.02723487,ISO
Balbc,8.616470477,ISO
Balbc,18.91261066,ISO
Balbc,16.21396914,ISO
Balbc,16.8854368,ISO
Balbc,15.97113319,ISO
Balbc,22.87614457,ISO
Balbc,,ISO
Balbc,1.202452703,ISO
Balbc,5.203807662,ISO
Balbc,,ISO
Balbc,3.876662084,ISO
Balbc,12.12060644,ISO
Balbc,9.495166857,ISO
Balbc,23.73791714,ISO
Balbc,21.83140726,ISO
Balbc,7.710202231,ISO
Balbc,11.05497896,ISO
Balbc,,ISO
Balbc,,ISO
Balbc,20.84653175,ISO
Balbc,18.05070783,ISO
Balbc,19.09496365,ISO
Balbc,5.652576396,ISO
C57,26.7624394,Ctrl
C57,14.56191556,Ctrl
C57,19.60812392,Ctrl
C57,16.60232768,Ctrl
C57,17.39390666,Ctrl
C57,14.7008946,Ctrl
C57,7.841031454,Ctrl
C57,16.34781086,Ctrl
C57,8.963110093,Ctrl
C57,14.00297334,Ctrl
C57,21.00446002,Ctrl
C57,17.37210979,Ctrl
C57,16.64218921,Ctrl
C57,18.607978,Ctrl
C57,,Ctrl
C57,5.716677778,Ctrl
C57,4.888202966,Ctrl
C57,,Ctrl
C57,6.973311676,Ctrl
C57,19.80420516,Ctrl
C57,11.79824988,Ctrl
C57,21.45966503,Ctrl
C57,18.83552121,Ctrl
C57,8.768465282,Ctrl
C57,11.41922867,Ctrl
C57,,Ctrl
C57,,Ctrl
C57,28.40767133,Ctrl
C57,20.38668178,Ctrl
C57,19.20075292,Ctrl
C57,9.560650766,Ctrl
C57,17.54802989,ISO
C57,16.3671117,ISO
C57,19.14771217,ISO
C57,25.02336392,ISO
C57,21.00446002,ISO
C57,16.27106058,ISO
C57,9.704060528,ISO
C57,19.74778292,ISO
C57,7.762006501,ISO
C57,15.55885927,ISO
C57,20.00424764,ISO
C57,18.75905766,ISO
C57,16.76293061,ISO
C57,18.75905766,ISO
C57,2.987703364,ISO
C57,,ISO
C57,5.551839652,ISO
C57,,ISO
C57,6.384250347,ISO
C57,6.027366787,ISO
C57,13.91861808,ISO
C57,23.81949074,ISO
C57,22.87614457,ISO
C57,10.1634484,ISO
C57,11.55245301,ISO
C57,,ISO
C57,,ISO
C57,25.96056856,ISO
C57,21.10037079,ISO
C57,22.61491617,ISO
C57,,ISO
CEJ,23.2599725,Ctrl
CEJ,12.8957615,Ctrl
CEJ,13.05361922,Ctrl
CEJ,16.80356801,Ctrl
CEJ,15.93441794,Ctrl
CEJ,19.28086733,Ctrl
CEJ,5.288956867,Ctrl
CEJ,18.36151472,Ctrl
CEJ,5.381577489,Ctrl
CEJ,13.49848453,Ctrl
CEJ,20.06214705,Ctrl
CEJ,12.47789704,Ctrl
CEJ,13.65807252,Ctrl
CEJ,16.99485206,Ctrl
CEJ,1.745962671,Ctrl
CEJ,5.221447688,Ctrl
CEJ,4.977717634,Ctrl
CEJ,,Ctrl
CEJ,4.313299195,Ctrl
CEJ,21.69474744,Ctrl
CEJ,12.44110324,Ctrl
CEJ,6.244569194,Ctrl
CEJ,17.39390666,Ctrl
CEJ,6.862843372,Ctrl
CEJ,9.769516287,Ctrl
CEJ,,Ctrl
CEJ,,Ctrl
CEJ,25.53028289,Ctrl
CEJ,18.68321241,Ctrl
CEJ,19.25408835,Ctrl
CEJ,4.58658184,Ctrl
CEJ,14.31277364,ISO
CEJ,13.53803087,ISO
CEJ,19.91802243,ISO
CEJ,20.94100243,ISO
CEJ,17.22104796,ISO
CEJ,19.33464939,ISO
CEJ,6.020822415,ISO
CEJ,19.12130153,ISO
CEJ,8.713352364,ISO
CEJ,18.93844756,ISO
CEJ,18.55815744,ISO
CEJ,18.86114777,ISO
CEJ,16.68224261,ISO
CEJ,19.30772091,ISO
CEJ,1.079668506,ISO
CEJ,6.027366787,ISO
CEJ,6.511481264,ISO
CEJ,,ISO
CEJ,4.848878493,ISO
CEJ,22.76345421,ISO
CEJ,6.301338005,ISO
CEJ,13.81688732,ISO
CEJ,21.13253599,ISO
CEJ,8.217512514,ISO
CEJ,9.937593987,ISO
CEJ,,ISO
CEJ,,ISO
CEJ,24.93335182,ISO
CEJ,21.59337011,ISO
CEJ,18.41028368,ISO
CEJ,4.500955718,ISO
DBA,17.614922,Ctrl
DBA,10.53415168,Ctrl
DBA,17.95718084,Ctrl
DBA,21.16479941,Ctrl
DBA,18.88684416,Ctrl
DBA,15.61142299,Ctrl
DBA,6.487105106,Ctrl
DBA,19.69168127,Ctrl
DBA,7.350447302,Ctrl
DBA,16.30934542,Ctrl
DBA,22.28769069,Ctrl
DBA,14.30644336,Ctrl
DBA,16.90602879,Ctrl
DBA,16.90602879,Ctrl
DBA,0.983536262,Ctrl
DBA,6.620316911,Ctrl
DBA,4.546718141,Ctrl
DBA,,Ctrl
DBA,3.623622303,Ctrl
DBA,18.86114777,Ctrl
DBA,10.84737372,Ctrl
DBA,22.9518934,Ctrl
DBA,20.38668178,Ctrl
DBA,9.001911436,Ctrl
DBA,9.887976898,Ctrl
DBA,,Ctrl
DBA,,Ctrl
DBA,23.65690036,Ctrl
DBA,19.69168127,Ctrl
DBA,20.50731303,Ctrl
DBA,,Ctrl
DBA,10.51019228,ISO
DBA,15.4375764,ISO
DBA,25.6721178,ISO
DBA,29.74880603,ISO
DBA,22.83845735,ISO
DBA,19.55281186,ISO
DBA,6.545985965,ISO
DBA,18.337227,ISO
DBA,7.037027214,ISO
DBA,22.8008941,ISO
DBA,19.80420516,ISO
DBA,18.16899556,ISO
DBA,18.78447644,ISO
DBA,19.55281186,ISO
DBA,1.379985854,ISO
DBA,4.161657522,ISO
DBA,5.637634653,ISO
DBA,,ISO
DBA,3.215394476,ISO
DBA,18.80996419,ISO
DBA,4.785826333,ISO
DBA,5.5296943,ISO
DBA,24.2359154,ISO
DBA,6.713289884,ISO
DBA,10.68023391,ISO
DBA,,ISO
DBA,,ISO
DBA,26.3554061,ISO
DBA,19.88944564,ISO
DBA,17.26393974,ISO
DBA,5.5011681,ISO
FVB,20.47702158,Ctrl
FVB,9.60702953,Ctrl
FVB,18.26474784,Ctrl
FVB,7.70163534,Ctrl
FVB,16.66219184,Ctrl
FVB,16.52317475,Ctrl
FVB,5.944092068,Ctrl
FVB,14.33603269,Ctrl
FVB,4.928170498,Ctrl
FVB,12.90776873,Ctrl
FVB,18.4593124,Ctrl
FVB,12.61414341,Ctrl
FVB,14.30644336,Ctrl
FVB,18.24071528,Ctrl
FVB,1.941588741,Ctrl
FVB,1.951153218,Ctrl
FVB,4.034616883,Ctrl
FVB,,Ctrl
FVB,8.485351866,Ctrl
FVB,18.19283938,Ctrl
FVB,8.154672712,Ctrl
FVB,21.76286281,Ctrl
FVB,16.3671117,Ctrl
FVB,7.962632746,Ctrl
FVB,9.620363367,Ctrl
FVB,,Ctrl
FVB,,Ctrl
FVB,20.87792713,Ctrl
FVB,18.48392481,Ctrl
FVB,16.82396069,Ctrl
FVB,5.89076924,Ctrl
FVB,17.32867951,ISO
FVB,12.31167283,ISO
FVB,17.72754937,ISO
FVB,11.51407277,ISO
FVB,22.35958647,ISO
FVB,16.90602879,ISO
FVB,7.280957779,ISO
FVB,19.25408835,ISO
FVB,8.183555851,ISO
FVB,20.00424764,ISO
FVB,17.95718084,ISO
FVB,18.24071528,ISO
FVB,17.45962671,ISO
FVB,17.77300463,ISO
FVB,2.806263889,ISO
FVB,2.520535202,ISO
FVB,3.847611327,ISO
FVB,,ISO
FVB,5.121146513,ISO
FVB,24.2359154,ISO
FVB,,ISO
FVB,26.05816468,ISO
FVB,23.02814553,ISO
FVB,9.180757358,ISO
FVB,11.54283398,ISO
FVB,,ISO
FVB,,ISO
FVB,26.65950694,ISO
FVB,24.2359154,ISO
FVB,20.38668178,ISO
FVB,5.059468471,ISO
